"Волшебная галоша. Машина времени Кольки Спиридонова","1971"
"Волшебная галоша. Повесть-сказка","1965"
"Волшебная гармоника",""
"Волшебная гора","2014"
"Волшебная зима",""
"Волшебная игла","1943"
"Волшебная калебаса (Cказки старого Муссы)","1968"
"Волшебная картина",""
"Волшебная книга","1969"
"Волшебная лампа Аладдина","1997"
"Волшебная роза",""
"Волшебная рыба","1990"
"Волшебная сказка","1992"
"Волшебная тыква",""
"Волшебная тыква","1970"
"Волшебная чаша","1957"
"Волшебная чернильница","1967"
"Волшебная шапка","1970"
"Волшебная шапка (с иллюстрациями)","1970"
"Волшебная Школа Карандаша и Самоделкина",""
"Волшебная щука","1959"
"Волшебник и сын, или Триумф беспечного школяра",""
"Волшебник Изумрудного города","2002"
"Волшебник Изумрудного города (с иллюстрациями)","2002"
"Волшебник Изумрудного города (сборник)","2013"
"Волшебник мультяшного мира",""
"Волшебница Настя","2009"
"Волшебницы",""
"Волшебное зеркало",""
"Волшебное зеркало и другие сказки","1983"
"Волшебное золото",""
"Волшебное кольцо",""
"Волшебное кольцо (др. вар.)",""
"Волшебное коромысло",""
"Волшебное лекарство Джорджа","2015"
"Волшебное наследство","1991"
"Волшебное слово «кусукэ»",""
"Волшебное сокровище","1997"
"Волшебные истории","2012"
"Волшебные истории про Еню и Елю","2014"
"Волшебные капли для Субастика","2012"
"Волшебные перья Арарахиса (c иллюстрациями)","1967"
"Волшебные сказки","1966"
"Волшебные сказки Англии","2011"
"Волшебные сказки Англии","2012"
"Волшебные сказки Ингушетии","2012"
"Волшебные сказки Италии",""
"Волшебные сказки Китая","2014"
"Волшебные сказки Норвегии (илл. Теодор Киттельсен)","2011"
"Волшебные сказки Перро","1910"
"Волшебные сказки Туркмении","2014"
"Волшебные сказки Швеции (илл. Йона Бауэра)","2011"
"Волшебные сказки, возвращающие здоровье. Дверь на Остров Мечты","2016"
"Волшебные узлы",""
"Волшебные часы",""
"Волшебный берег. Повесть-сказка","1986"
"Волшебный браслет","1971"
"Волшебный возок",""
"Волшебный день",""
"Волшебный Камень и подземный ход","2012"
"Волшебный козел","1976"
"Волшебный колокольчик",""
"Волшебный конь","2018"
"Волшебный короб","1993"
"Волшебный котёл. Китайские народные сказки","2002"
"Волшебный котелок",""
"Волшебный кувшин Хомы и Суслика","1998"
"Волшебный лумбо",""
"Волшебный магазин и другие истории","2017"
"Волшебный мелок","1987"
"Волшебный мяч","1981"
"Волшебный оби",""
"Волшебный цветок",""
"Волшебный шамир",""
"Вор (ЛП)","2005"
"Воробей",""
"Воробей","1956"
"Воробей господин Чириков",""
"Воробей и зимородок",""
"Воробей и лиса",""
"Воробей с обрезанным языком",""
"Ворон Кутха","1974"
"Ворон, карась, медведь и лиса","2015"
"Ворона и облака",""
"Ворона и рак","2012"
"Вороны Ут-Реста","1993"
"Воротничок",""
"Восемь волшебных желудей",""
"Восемь розовых динозавров","1975"
"Восточные сказки","2012"
"Восход","2014"
"Восьминогая собака",""
"Вотчина русалки Марфы",""
"Врабчето с отрязания език","1974"
"Вреднючка",""
"Время","2001"
"Время Бармаглота","2010"
"Врун",""
"Всадник без бороды","1964"
"Всамделишные сказки","2016"
"Все - як насправдi. (На украинском языке)","1980"
"Всё вместе","2012"
"Все нужны и все важны",""
"Всё о Ёжике, Медвежонке, Львёнке и Черепахе","2006"
"Все о медвежонке Паддингтоне","2008"
"Все о феях","2012"
"Все приключения Белоснежки","2010"
"Все равно тебя не брошу",""
"Встречи на дороге","2006"
"Вторая книга джунглей","1996"
"Вторая легенда о царствующей в Корее династии",""
"Вторая тайна золотого ключика (Художник Л. Черный)","1988"
"Второе мщение хитрого Петре",""
"Вуншпунш, или Тениалкогадский волшебный напиток","2010"
"Вуховертка та відьма",""
"Вълшебният воал","1974"
"Вълшебният калпак","1981"
"Вълшебният кон","1972"
"Вышивание",""
"Вьетнамские народные сказки",""
"Вьюн и щука",""
"Вясна ўвосень","2000"
"Га-га-га!",""
"Гаврюша и Красивые. Два домовых дома","2019"
"Гадкий утёнок","2015"
"Гак и Буртик в стране бездельников (Иллюстрации Ю. Смольникова)","1959"
"Гак и Буртик в Стране бездельников. Повесть-сказка","1964"
"Гак и Буртик в Стране бездельников. Повесть-сказка. Издание второе, исправленное и дополненное.","1964"
"Галактические сказки. Девочка с голубой планеты",""
"Галина правда",""
"Ганс Чурбан",""
"Ганс Чурбан[другой перевод]",""
"Гарантийные возвращаются","2011"
"Гардарика (историческая сказка)",""
"Гарпамди - меткий стрелок","2015"
"Гарпамди – меткий стрелок","1990"
"Гарун и Море Историй","2006"
"Гарун і море оповідок","2012"
"Где богатство зарыто",""
"Где живет колдун","2012"
"Где живет сказка",""
"Где живут сказки","2004"
"Где зимуют зайцы?","2013"
"Где моя корова?",""
"Где спят снеговики?","2014"
"Генерал Фанта-Гиро",""
"Гензель и Гретель","2011"
"Геохату","2001"
"Герцог над зверями",""
"Гибель Алмаса - хозяина Чёрных гор","1990"
"Гилитрутт",""
"Гісторыя пра карабель прывідаў","2013"
"Главная Надежда","2015"
"Глаза Мидаса-младшего",""
"Глупцы",""
"Глупые истории",""
"Глупый богач","1988"
"Глупый волк",""
"Глупый Сабуро",""
"Гном Гномыч и Изюмка",""
"Гном из Забытой страны","1959"
"Гном из-под печки",""
"Гном Хёрбе и леший","2010"
"Гном Хрёбе и леший",""
"Гноми і забіяки","1979"
"Гномобиль","1989"
"Гномобиль. Повесть-сказка","1971"
"Гобболино — ведьмин кот","2004"
"Говорюща риба","2000"
"Говорящий сверток (с цветными иллюстрациями)","1993"
"Говорящий фломастер",""
"Год Принцессы Букашки",""
"Голос лебедя-трубача","1998"
"Голос ночи",""
"Голоса [Как Воробьёнок придумал голосами меняться и что из этого вышло]",""
"Голубая бусинка","1964"
"Голубая книга сказок кота Мурлыки","1992"
"Голубая сказка","1981"
