autor,books_name
Яковкин Евгений,Коронованный странник
Потапчук И.,Короткий век блистательной империи
Меженков Владимир,Короткое замыкание
Гончарок Моше,Корпус А блок 4
документов Сборник,Коррупция при дворе Короля-Солнце. Взлет и падение Никола Фуке
Космолинская Галина,Корсар
Тараторин Дмитрий,Корсар
Беляков Владимир,Корсары Кайзера
Чумаков Валерий,Корсунь козацький
Гарин Игорь,Корсунь-Шевченківська битва: сторінки історії.
Долбилов Михаил,Кортес
Абакумов Александр,Космическая битва империй. От Пенемюнде до Плесецка
Абакумов А.,Космические тайны курганов
Курганов Е,Космонавты Сталина. Межпланетный прорыв Советской Империи
Толстой Лев,Коснувшись неба
Алексеев Николай,Костер Монсегюра. История альбигойских крестовых походов
Лор Эрик,Кострома
Гусева Наталья,Кострома
Гостев Игорь,Костры похода (Звезды над Самаркандом - 2)
Командорова Наталья,"Кость Блакитний, отаман Степової дивізії"
Тимофеев Алексей,Кость в голове
Борщаговский Александр,Котел смерти в Курляндии. Хроника сражений группы армий «Север». 1944–1945
Матосов Михаил,"Котлы 41-го. История ВОВ, которую мы не знали"
Коняева Марина,"Котовский (Книга 1, Человек-легенда)"
Шкрабо Д.,"Котовский (Книга 2, Эстафета жизни)"
Ростунов Иван,"Котовский, Анархист - маршал"
Воронович Николай,КОЧЕВНИКИ СРЕДНЕВЕКОВЬЯ поиски исторических закономерностей
Левицкий Николай,Кошка
Ермолов Игорь,Кошмарная комната
Завьялов Владимир,Коштовний камiнь (на украинском языке)
Горский Антон,Крадущиеся на глубине. Боевые действия английских подводников во Второй мировой войне. 1940–1945 гг.
Урушев Дмитрий,КРАМОЛА Инакомыслие в СССР при Хрущеве и Брежневе.
Карташевъ Антонъ,Красная Армия в начале Второй мировой. Как готовились к войне солдаты и маршалы
Радуга,Красная Армия в освещении современников
Пашков Борис,Красная Армия против войск СС
Горобець В.,Красная земля Испании
 ПРОГНОЗНО-АНАЛИТИЧЕСКИЙ ЦЕНТР,Красная капелла
Васильева Нина,Красная книга ВЧК. В двух томах. Том 1
Анишкин Валерий,Красная книга ВЧК. В двух томах. Том 2
Асов Александр,"Красная фурия, или Как Надежда Крупская отомстила обидчикам"
Грустный Артём,Красная Хазария и Гитлер. Кто «крышевал» сионистов?
Карпец В.и.,Красная чума
Тулупов Вячеслав,Красная эпоха. 70-летняя история СССР
Хрусталев Денис,Краснознаменный Балтийский флот накануне Великой Отечественной войны: 1935 – весна 1941 гг..
Кучкин Владимир,Красные горные орлы Тарбагатая
Филиппов Владимир,Красные кресты
Речкалов Александр,Красные маршалы
Куза Андрей,Красные маршалы. Буденный
Кофман Андрей,Красные полководцы
Блэр Клод,Красные против белых. Спецслужбы в Гражданской войне 1917–1922
Клифан Колтман,Красные щиты
дю Пюи де Кленшан Филипп,Красный бакен
Окшотт  Эварт,Красный блицкриг
Дейвс Кристофер,Красный десант
Петреченко Галина,Красный и белый террор в России. 1918–1922 гг.
Гримберг Фаина,Красный террор в годы гражданской войны
Курганов Валерий,Красный террор в Россiи 1918 - 1923
Пчелов Евгений,Красный террор в России. 1918-1923
Шульц Густав,Красный флаг: история коммунизма
Кравченко Евгений,Красный Франкенштейн. Секретные эксперименты Кремля
Долготович Борис,"Красотка-еврейка (Король-сердцеед, Молодость короля Генриха - I)"
Шахназаров Георгий,Кратер Эршота
Ботмер Карл,Краткая история аргентинцев
Масловский Виталий,Краткая история Ближнего Востока. Мост трех континентов
Курлат Феликс,Краткая история военной разведки России
Gaius Anonimus,Краткая история Германии
Д. Чугаева и Л. Петерсон.,Краткая история евреев
Селицкий Станислав,Краткая история евреев
Брук Кристофер,Краткая история от основания Города
Баха ад-Дин,Краткая история России и Советского Союза
Владимирский А.,Краткая история России и Советского Союза (американский взгляд)
Коннел Ричард,Краткая история Русского Флота
Юзефович Леонид,Краткая история спецназа России
Лотт Арнольд,Краткая история спецназа России
Храмин А.,Краткая история спецслужб 
Иконников-Галицкий Анджей,Краткая история спецслужб 
Ратти Оскар,"Краткая история Средних веков: Эпоха, государства, сражения, люди"
Тернбулл Стивен,Краткая история США
Реутов Сергей,Краткая история Турции
Колкутин Виктор,Краткая история Франции
Райан Корнелиус,КРАТКАЯ ИСТОРІЯ О БУНТАХЪ ХМЕЛЬНИЦКАГО
Соловьев А.,Краткая летопись жизни и творчества Вальтера Скотта
Федотова Марина,Краткая летопись жизни и творчества Марка Твена
Телемтаев Марат,Краткие сведения о Рокуэлле Кенте
Брюн Мишель,Краткий курс истории Беларуси IX-XXI веков
Серафимов Константин,Краткий курс истории ВКП(б)
Каменев Сергей,Краткий курс истории ВКП(б)
Барц Карл,Краткий курс истории ВКП(б)
Фон Ганс-Ульрих,Краткий курс истории ВОВ. Наступление маршала Шапошникова
Ковалев Сергей,Краткий курс истории России с древнейших времён до начала XXI века
Кригер Евгений,Краткий курс истории Русской революции
Липецкий Глеб,Краткий курс по русской истории
Тэффи Надежда,Краткий очерк истории и описание Нижнего Новгорода
Вейгел Джордж,Краткий словарь античности
Русак Владимир,Краткий справочник исторических дат
Степанов (Русак),Кратко о великом. Царствование Ивана Грозного
Кунов Карл,Краткое обозрение царствования Иоанна и Мануила Комнинов
Вандеркам Джеймс,Кратчайшая история Европы. Самый полный и самый краткий справочник
Бейджънт Майкъл,Крах Великой империи. Загадочная история самой крупной геополитической катастрофы
Шмаков Алексей,Крах империи (Курс неизвестной истории)
Совинформбюро,Крах империи евреев
Нестеров Федор,Крейсер «Очаков»
Бензярук Анатоль,"Крейсер I ранга “Адмирал Корнилов"". 1885-1911."
Давыдов Юрий,"Крейсер I ранга ""Россия"" (1895 – 1922)"
Галанов Святослав,"Крейсер I ранга ""Рюрик"" (1889-1904)"
Асов А,Крейсера типа “Мацусима”. 1888-1926 гг.
Барбер Ричард,Кремлёвские козлы. Исповедь любовницы Сталина
Фюлёп-Миллер Рене,Кремль. Ставка. Генштаб.
Честертон Гилберт,Крепостная Россия. Мудрость народа или произвол власти?
Плеханов Сергей,Крепостничество без русофобских мифов
Маслов Н.,Крепость на Яике
Рапп Франсис,Крепость Орешек
Бульст-Тиле Мария Луиза,Кресло Кутона
Рестон Джеймс,Кресси
Мартиросян  Арсен,"Крест и меч. Католическая церковь в Испанской Америке, XVI–XVIII вв."
Ванеев Геннадий,Крест и свастика. Нацистская Германия и Православная Церковь
Бочаров Юрий,Крест против Коловрата – тысячелетняя война
Беспалов Александр,"Крёстный отец Кремля - Борис Березовский, или История разграбления России"
Черкасова Марина,Крестный путь России
Папанин И.,Крестовые походы: в 2 т. Т. 2.
Соболев Дмитрий,Крестовые походы. Войны Средневековья за Святую землю
Пэдфилд  Питер,Крестовые походы. Идея и реальность
Пржездомский Андрей,Крестовые походы. Миф и реальность священной войны
Райле Оскар,Крестовые походы. Под сенью креста
Бирюк   Владимир,Крестовые походы. Священные войны Средневековья
Сорин Серхио,Крестовые походы.Миф и реальность священной войны
Хиршманн Кай,Крестовый поход на Россию
Парнов Еремей,Крестовый поход на Русь
Первенцев Аркадий,Крестовый поход против Грааля
Стрижак Олег,Крестом и мечом. Приключения Ричарда І Львиное Сердце
Келлер Джон,Крестоносцы
Климов Александр,Крестоносцы (Гвиания - 3) (главы из романа)
Запорожец В.,Крестоносцы на Востоке
Ивлева Валерия,Крестоносцы социализма
Демин Л.,Крестьянская война под руководством Пугачева
Табачник Дмитрий,Крестьянская цивилизация в России
Самвелян Николай,Крестьянские восстания в России в 1918–1922 гг. От махновщины до антоновщины
Тюдор Элизабет,Крестьянские восстания в России в 1918—1922 гг. От махновщины до антоновщины
Лобанов Дмитрий,"Крестьянский Брест, или предыстория большевистского НЭПа"
Скоробогатова Раиса,Крестьянский бунт в эпоху Сталина: Коллективизация и культура крестьянского сопротивления
Радоевич Мира,Крестьянство России в Гражданской войне: к вопросу об истоках сталинизма
Никифоров Константин,Крещение Киевской Руси
Минжуренко Александр,Крещение Руси
Миронихина Любовь,Крещение Руси
Табуреткин Иван,Крещение Руси и Владимир Святой
Тарджеманов Джавад,Крещение Руси. От язычества к христианству
Хаксли Олдос,Кривая Империя (Книга 1 - Князья и Цари)
Уильямс Джерард,Кривая Империя. Книга I. Князья и Цари
Давидсон Аполлон,Кривое горе (память о непогребенных)
Захарова Лариса,Кригсмарине. Военно-морской флот Третьего рейха
Васильев Сергей,Кризис античной культуры
Аганбегян Абел,Кризис власти
Менендес Пидаль Рамон,Кризис и Процветание
Кайдаш Светлана,Кризис культуры и культура кризиса у Льва Толстого
Босов Геннадий,Кризис средневековой Руси 1200-1304
Неподкосов Сергей,"Крила України: Військово-повітряні сили України, 1917-1920 рр"
Велецкая Наталья,Криминал как основа происхождения Русского государства и три фальсификации тысячелетия
Бейтман Сомерсет,Криминальная история масонства 1731–2004 года
Куан Ю.,Криминальная история России. 1993–1995. Сильвестр. Отари. Мансур
Накорчевский Андрей,Криминальная хроника человечества
Свешников А.,Криптоэкономика мирового алмазного рынка
Бреннер Ленни,Крис Фаррингтон - настоящий моряк
Маор Ицхак,Крис Фаррингтон — настоящий моряк
Жура Леонид,Критерии оценки свидетельств
Возовиков Владимир,Критий (отрывок из Диалогов об Атлантиде)
Виноградов Аркадий,Критика традиционной истории казачества
Мусин Марат,Критический анализ официального взгляда на Освенцим в свете химии и технологии
Кондрико Андрей,Критическое исследование хронологии древнего мира. Античность. Том 1
Гурев Г.,Критическое исследование хронологии древнего мира. Библия. Том 2
Савчин Алексей,Критическое исследование хронологии древнего мира. Восток и средневековье. Том 3
Баскина Ада,Кровавая дорога в Тунис
Вадецкий Б.,Кровавая расправа в Манор-Плэсе
Орлов М.,Кровавая свадьба в Перудже
Рейтенфельс Яков,Кровавые ночи 1937 года. Кремль против Лубянки
Горькавый Ник.,Кровавые слезы Украины
Дмитрич Михаил,Кровавый Дунай. Боевые действия в Юго-Восточной Европе. 1944-1945
Нестерова Дарья,Кровавый навет (Странная история дела Бейлиса)
Лукницкий Павел,Кровавый ньюсмейкер XV века
Вассерман Анатолий,Кровавый палач Гитлер и его подручные (без иллюстраций)
Лызлов Андрей,Кровь и почва русской истории
Грэм Ф.,Кровь королей
Жмыр Владимир,Кроме Стоунхенджа
Федюнькин Евгений,Кронштадт - пролетарский отпрыск российской революции
Скрылев Игорь,Кронштадт-Таллин-Ленинград Война на Балтике в июле 1941 – августе 1942 гг.
Крючкова Ольга,Кронштадтский мятеж
Нидерле Любор,Круглые суда адмирала Попова
Серов Дмитрий,Кружева заговора (Браки Романовых)
Эйвельманс Бернар,Крупнейшее поражение Жукова Катастрофа Красной Армии в Операции Марс 1942 г.
Акимушкин Игорь,Крупнейшие танковые сражения Второй мировой войны. Аналитический обзор
Швец Н.Н.,Крупп
Симонова Н.,Крутые ступени
Семевский Михаил,Крушение «Красной империи»
Иларион Митрополит,Крушение антисоветского подполья в СССР. Том 1
Древнерусская литература Автор неизвестен -,Крушение антисоветского подполья в СССР. Том 2
Ладинский Антонин,Крушение великой империи
Саусверд Феликс,Крушение власти и армии. (Февраль – сентябрь 1917 г.)
Херинг Элизабет,Крушение власти и армии. (Февраль-сентябрь 1917 г.)
Иванов Леонид,Крушение германского блицкрига в 1914 году
Бьюкенен Патрик,Крушение мировой революции - Брестский мир
Бежин Леонид,Крушение мировой революции. Брестский мир
Азольский Анатолий,Крушение парадоксов
Гругман Рафаэль,Крушение последнего похода Антанты
Баранов Виктор,Крушение Римской империи
Макаров Владимир,Крушение царства: Историческое повествование
Аксаков Иван,"Крыж памяці, меч лёсу"
Антонов Дмитрий,Крылатые торпедоносцы
Меркурьев-Мейерхольд Петр,Крылья Победы
Федосова Наталья,Крым — Галлиполи — Балканы
Шпинев Валерий,"Крым в период немецкой оккупации. Национальные отношения, коллаборационизм и партизанское движение. 1941-1944"
Панова Вера,Крым под пятой Гитлера. Немецкая оккупационная политика в Крыму 1941-1944 гг.
Баруздин Сергей,Крым. Военная история. От Ивана Грозного до Путина
Лиханов Альберт,Крымская война
Маркс Карл,Крымская война
Тихон Задонский,Крымская война
Стругацкий Аркадий,Крымская война 1853-1856 гг.
Шаламов Варлам,Крымская война. 1854-1856
Дмитриев К.,Крымская война. Том 1
Муравьев-Карсский Николай,Крымская империя. От ханства к Новороссии
Гром Юрий,Крымский гамбит. Трагедия и слава Черноморского флота
Горлов Сергей,Крымское ханство
Прокофьев Илья,Крымское ханство XIII—XV вв.
Бурдс Джеффри,Крымское ханство в XVIII веке
Печенкин Владимир,Крымчаки. Подлинная история людей и полуострова
Усов Виктор,Ксения Петербургская
Мартиросян     Арсен,Ксеркс. Покоритель Вавилона
Мартиросян     Арсен,Кто больший предатель – Ленин или генерал Власов?
Симонова Татьяна,Кто был первым в Европе военным атташе
Котеленец Анатолий,"Кто вы, агент 007? Где МИ-6 прячет «настоящего» Джеймса Бонда"
Пинчук Михаил,"Кто вы, генерал Орлов"
Асташенков Петр,"Кто вы, Лаврентий Берия?: Неизвестные страницы уголовного дела"
Штеменко С.,Кто выиграл Вторую мировую войну?
Лавренов Сергей,"Кто дерзнет сказать, что солнце лживо"
Диверге Вольфганг,Кто добил Россию? Мифы и правда о Гражданской войне.
Мельтюхов Михаил,Кто есть кто во всемирной истории
Энгл Элоиза,Кто же я
Фролов Дмитрий,Кто заказал татаро-монгольское нашествие?
Ободовский Денис,Кто заставил Гитлера напасть на Сталина
Советское информационное бюро,Кто и как изобрел Страну Израиля
Чесноков Дмитрий,Кто и когда купил Российскую империю
Пономарев М.,Кто изобрел современную физику? От маятника Галилея до квантовой гравитации
давид иржи,Кто командовал советскими партизанами.  Организованный хаос
Студеникин Михаил,Кто натравил Гитлера на СССР. Подстрекатели «Барбароссы»
Гумилевский Лев,Кто оставил «варяжский след» в истории Руси? Разгадки вековых тайн
Гампл Франс,Кто поставил Горбачева?
Гавряев Виталий,КТО РЕПРЕССИРОВАЛ В 30-х БРАТЬЯ БЕРМАНЫ? СТАЛИН? ИЛИ... Том 9.
Стадничук Борис,Кто спас советскую власть от гибели
Мадер Юлиус,Кто спасъ совѣтскую власть отъ гибели
Скуратовская Марьяна,Кто стоял за спиной Сталина?
Киле Петр,Кто стреляет последним (не вычитано!)
Лебедев Владимир,Кто такие «национал-социалисты»
Стогний Константин,Кто такие Айны? 
Аксенов Виталий,Кто такие бандеровцы и за что они борятся
Демкин Сергей,Кто такие мирмидонцы?
Григоренко Петр,Кто такой кулак и почему надо с ним бороться
Мацкевич Вадим,Кто убил Российскую Империю?
Коновалов Иван,Кто убил Российскую Империю? Главная тайна XX века.
Таубман Филип,Куда делась агентура?
Манаков Анатолий,"Куда идем? Беларусь, Россия, Украина"
Розанов михаил,"Куда исчез Гитлер, или Военные тайны ХХ века"
Фруменков Георгий,"Куда исчез Гитлер, или Военные тайны ХХ века"
Де Диэго,Куда уйти
де Ланда Диэго,Кузькина мать. Хроника великого десятилетия
Круглов Александр,Кукловоды Третьего рейха
Пирлинг Павел,Кулау-прокажённый
Горбунов Юний,Кулачество как класс
Мосолкина Татьяна,Кулебаки: К 50-летию города
Бернхард Брозиус,Куликово поле и другие битвы Дмитрия Донского
Ашин Г.,Куликовская битва
Джованьоли Рафаэло,КУЛИКОВСКАЯ БИТВА и рождение Московской Руси
Мишулин А,Куликовская битва. Путеводитель по событиям
Шумил Павел,Кулинарный словарь (отрывок)
Корнуэлл Бернард,Культура бескультурных народов
Ямщиков Савелий,Культура сирийцев в средние века
Скрынников Михаил,Культурогенез и этногенез кочевых и оседлых цивилизаций в Средние века
Кирмель Николай,Купец-меценат Х. С. Леденцов и “демократическая интеллигенция”
Мисюк Анджей,Курапаты
Федоров Александр,Курбский против Грозного или 450 лет чёрного пиара
Ходаковский Николай,Курс - море мрака
Неизвестен,Курс гражданского права. Тома I-III
Тарнавський Мирон,Курс лекций по социальной философии
Паливода Василь,Курс отечественной истории
Толмасов Владимир,Курс русской истории
Палий Александр,Курс русской истории (Лекции I—XXXII)
Болдуин Хэнсон,Курс русской истории (Лекции LXII—LXXXVI)
Соломон Георгий,Курс русской истории (Лекции XXXIII—LXI)
Соломон (Исецкий) Георгий,Курс русской истории (Лекция 1-86)
Прокофьев Вадим,"Курская битва: хроника, факты, люди. Книга 1"
Слободской А.,"Курская битва: хроника, факты, люди. Книга 2"
Кенигсбергер Гельмут,Курская битва. Оборона. Планирование и подготовка операции «Цитадель». 1943
Уикхем Крис,Курская дуга. 5 июля — 23 августа 1943 г.
Буайе Режи,Курский излом
Рюкуа Аделина,Курьез с шедевром
Малето Елена,Кутан Торгоев
Поло де Болье Мари-Анн,Кухня антисемитизма от КГБ
Пиренн Анри,Кухня антисемітизму від КГБ
Иванов Константин,Кучер
Норман  А.,Кучер кабриолета
Клемец Джон,Кушанское царство
Меламед Роберт,Кыпчаки / половцы / куманы и их потомки: к проблеме этнической преемственности
Воскобойников Олег,Кэйе и Семнех-ке-рэ
Грей Кэтрин,Кэрри во время войны
Митяев Д.,Л.A.  Возникновение и развитие рабства в Риме в VIII—III вв. до н.э.
Кобрин Кирилл,Ла -5
Кузьмин Сергей,Лабиринты безумия
Фицпатрик Шейла,Лаванда
Хёне Хайнц,Лаврентий Берия. Оболганный Герой Советского союза
Чураков Димитрий,Ладьи плывут на север
Непомнящий  Николай,Лакированная шкатулка
Загородний Иван,"Лакцы. История, культура, традиции"
Белади Ласло,Ламберт Херсфельдский. Анналы
Дмитриевский Сергей,Лапландцы. Охотники за северными оленями
Грей Ян,Лаптежник против «черной смерти». Обзор развития и действий немецкой и советской штурмовой авиации в ходе Второй мировой войны
Гусляров Евгений,Лаптежник против «черной смерти». Обзор развития и действий немецкой и советской штурмовой авиации в ходе Второй мировой войны
Вышинский Андрей,Лапти сталинизма
Зверев Арсений,Латвия под игом нацизма. Сборник архивных документов
Люстигер Арно,Латино-Иерусалимское королевство
Бенедикт Сарнов,Лауреаты империализма: Монополистический капитал переписывает историю Америки
Ржешевский Олег,"Лахме вернется в 8,00"
Рязанов Сергей,Лбищенская драма
Ошлаков Михаил,Лебедь
Рыбин А.,Лебедь
Кормилицын Сергей,Лев Гумилев – поход против большевизма
Кузнечевский Владимир,Лев русской армии
Щербак Юрий,Лев Троцкий
Клифф Тони,Лев Троцкий. Большевик. 1917–1923
Ушаков Александр,Лев Троцкий. Нестор Махно
Верховский Яков,Лев Троцкий. Оппозиционер. 1923-1929
Суходеев Владимир,Лев Троцкий. Революционер. 1879–1917
Видер Иоахим,Левитан
Соколов Анатолий,Левые коммунисты в России. 1918-1930-е гг.
Першанин Владимир,Левые коммунисты в России. 1918-1930-е гг.
Мерцалова Л.,Левый путь национал-социализма
Мерцалов Андрей,Легенда
Гофман Иоахим,Легенда о белом коне
Робертс Джеффри,Легенда о Вавилоне
Швабедиссен Вальтер,Легенда о Великом Инквизиторе
Чкалов Валерий,Легенда о Фергюсоне
Эйтинген Григорий,Легенда советской разведки - Н Кузнецов
Ленчевский Юрий,"Легенда, оказавшаяся правдой"
Папков С.,Легендарное оружие древности
Гёбелер Ганс Якоб,"Легендарные полководцы древности. Олег, Добрыня, Святослав"
Ионина Надежда,"Легендарные полководцы древности. Святослав, Олег, Добрыня"
Кавалёў Сяргей,Легенды и были Кремля. Записки 
Томас Роджер,Легенды и были Невьянской башни
Бартлетт Роберт,Легенды и мифы Древнего Востока
Ерохин Владимир,Легенды и мифы древней Греции (ил.)
Булычев Кир,Легенды и мифы мировой истории
Каплинский Владимир,Легенды и мифы реакционной буржуазной историографии о германском фашизме
Кардаш Анатолий,Легенды и мифы России
Девятьярова И.,Легенды и мифы Советского Союза
Столпянский Пётр,Легенды метро и подземелий
Переслегин Сергей,Легенды мировой истории
Черных Евгений,"Легенды московского застолья. Заметки о вкусной, не очень вкусной, здоровой и не совсем здоровой, но все равно удивительно интересной жизни"
Трепавлов Вадим,Легенды старого Оренбурга
Непомнящий Н.н.,Легенды старого Петербурга (сборник)
Кривушин Иван,Легион «белой смерти»
Криштоф Елена,Легион «Идель-Урал»
Чеснокова Татьяна,Легион под знаком Погони. Белорусские коллаборационистские формирования в силовых структурах нацистской Германии (1941-1945)
Перруа Эдуард,Легионы Рима на Нижнем Дунае: Военная история римско-дакийских войн (конец I – начало II века н. э.)
Герт Анна,"Легитимация власти, узурпаторство и самозванство в государствах Евразии. Тюрко-монгольский мир XIII – начала ХХ в."
Брикнер М.,Легкие крейсера германии (1914 – 1918 гг.) Часть 2
Дерябин Петр,Легкие крейсера Японии
Храппа Вадим,"Легкий танк Pz. I История, конструкция, вооружение, боевое применение"
Бренер Иосиф,Лёд и Огонь. История глобальных катастроф 
Журавлев Денис,Ледниковый щит и люди на нем
Гаджиева Екатерина,Ледовая книга (Арктический дневник)
Куббель Лев,Ледовое побоище
Корнева Марина,Ледовое побоище и другие «мифы» русской истории
Зверев Б.,Ледокол
Стасова Елена,Ледокол 2
Байуотер Гектор,Ледяная кровь
Май Роберт,Ледяной клад
Рем Ворд,Ледяной поход
Миронов Борис,Ледяной призрак. Истории с «Титаника»
Инамори Казуо,Лейтенант Белозор
Бадрак Валентин,Лейтенант Ильин был
Хайрюзов Валерий,Лекции    Президентам по Истории Философии и  Религии
Панарин Александр,Лекции Алексея Миллера на Полит.ру
Какурин Николай,Лекции по истории Древнего Востока: от ранней архаики до раннего средневековья
Лиддел Гарт,Лекции по истории Древней Греции
Стратиевская Вера,Лекции по истории позднего средневековья
Эльберд М.,ЛЕКЦИИ ПО ИСТОРИИ ЯПОНИИ
Романов  Максим,"Лекция ""СРЕДНЕВЕКОВЬЕ"" 16 апреля 1987"
Кас Александр,Ленд-лиз - оружие победы
Ефимов Алексей,Ленд-лиз. Дороги в Россию. Военные поставки США для СССР во Второй Мировой войне. 1941-1945
Пшимановский Януш,Ленин (Глава 1)
Мюир Джон,Ленин (Глава 2)
Иванов С.В.,Ленин (Глава 3)
Бийр Кеннет,Ленин (Глава 4)
Гусейнов Иса,Ленин XXI веку
Грушко Виктор,Ленин в 1917 году
Дубровская Д.,Ленин в августе 1914 года (Преображение России - 12)
Уразов Александр,"Ленин в Италии, Чехословакии, Польше "
Фоминцева Любовь,Ленин жив! Культ Ленина в Советской России
Морин   А.,Ленин и его семья (Ульяновы)
Иванова Наталья,Ленин из эмиграции в Россию. Март 1917
Сытин  Петр,Ленин как зеркало русской интеллигенции
Дрожжин Олег,Ленин: политический портрет. Кн. 2.
Осовин Игорь,Ленин. «Сим победиши»
Моралевич Ю.,Ленин. Соблазнение России
Горбунов Евгений,Ленин. Спаситель и создатель
Карчевский Юрий,Ленин. Эмиграция и Россия
Ди Браун,Ленинград Довлатова. Исторический путеводитель
Гриневский  Олег,Ленинградская утопия. Авангард в архитектуре Северной столицы
Харт Бэзил,Ленинский броневик
Бурова Ирина,Ленін і Сталін думаюць пра Беларусь
Пауэлс Жак Р.,Леонардо да Винчи
Яковлев Лео,Леонардо да Винчи и Братство Сиона
Фирсов Евгений,Леопард из Рудрапраяга
Панова Т,Лерик
Ермакова Светлана,Лесная топь
Шнуровозова Татьяна,Лесные Всадники
Клавелл Джеймс,Лесные всадники
Сдвижков Игорь,Лесные командировки Соловецкого лагеря в Карело-Мурманском крае. 1929–1931 гг.
Зорич Анастасия,Лесные солдаты. Партизанская война на Северо-Западе СССР. 1941-1944
Швед Владислав,Лесокат
Фелисье Клод,Лестница в небо. В поисках бессмертия
Евреинов Н.,Летнi сон (на белорусском языке)
Курляндский Виктор,Летний сад Петра Великого. Рассказ о прошлом и настоящем
Чичков Б,Лето летающих
Плотников Андрей,Летопись Аляски
Скляревский Бореслав,Летопись византийца Феофана от Диоклетиана до царей Михаила и сына его Феофилакта
Столяров Игорь,Летучие пленники
Алексеева Адель,Летчик Тихон Жаров
Воронов Ю.,Лжегерои русского флота
Овсяный Игорь,Лжесвидетель
Батюшин Николай,Либерастия
Сейерс Майкл,Ливонская война
Платонов Александр,Ливонская война 1558-1583
Грейгъ  Ольга,Ливонская война. Вильно против Москвы 1558 – 1570
Tartt Donna,Ливонская хроника
Бэгготт Джим,Ливонский поход Ивана Грозного
Иавнович Семеновский,Ливонский поход Ивана Грозного. 1570–1582
Костырченко Г.,Лига стариков
Швейцер  Петер,Лиз Клайборн - упорный первооткрыватель
Зданович Леонид,Ликвидация Прусского государства
Коломийцев Игорь,Ликвидация России. Кто помог красным победить в Гражданской войне?
Картье Раймонд,Ликвидация СССР и сионизм
Синякович С.,"Лики истории в ""Historia Augusta"""
Стюарт Кэмпбелл,Лики Поднебесной
Моложавенко Владимир,Лики Срединного царства. Занимательные и познавательные сюжеты средневековой истории Китая
Svart,Лилиан Вернон - убежденный предприниматель
Фисанович Татьяна,Линда Вачнер - повседневный трудоголик
Сиднева Галина,Линейные корабли ’’Дюнкерк” и ’’Страсбург”
Ткач Михаил,Линейные корабли «Ришелье» и «Жан Бар»
Орлов А.,"Линейные корабли Соединенных Штатов Америки. Часть I. Линкоры типов “South Carolina”, “Delaware”, “Florida” и “Wyoming”."
Зверева Е.,Линейные корабли типа “Нептун”. 1909-1928 гг.
Иванов Василий,Линейные корабли типа «Кинг Джордж V»
Анчуков Сергей,"Линейные корабли типа ""Баерн"". Последние дредноуты империи кайзера Вильгельма II."
Мацух Леонид,"Линейные корабли типа ""Витторио Венето"""
Чернов Евгений,"Линейные корабли типа ""Нагато"". 1911-1945 гг."
Галкина Елена,Линейные корабли типов «Лайон» и «Вэнгард»
Перевезенцев Сергей,"Линейные крейсера “Дерфлингер”, “Лютцов”, “Гинденбург” и “Макензен”. 1907-1918 гг."
Никишин Александр,Линейные крейсера Англии. Часть IV. 1915-1945 гг.
Сопельняк Борис,Линейные крейсера Японии. 1911-1945 гг.
Смолин Михаил,Линейные крейсеры типа “Invincible”
Сонин Лев,"Линейный корабль ""Император Павел I"" (1906 – 1925)"
Капица Федор,Линия горизонта
Куропаткина Марина,Линия жизни. Как я отделился от России
Миллер Конрад,"Линкоры Британской империи Часть I: Пар, парус и броня"
Пономарев В.,Линкоры Британской империи. Часть 2. Время проб и ошибок
Ахметшин Наиль,Линкоры Британской империи. Часть 3. Тараны и орудия-монстры
Мизун Юлия,Линкоры Британской империи. Часть 4. Его величество стандарт
Атаманенко Игорь,Линкоры Британской империи. Часть 6. Огневая мощь и скорость
Окороков Александр,Линкоры в бою
